strategy,strategy_type,model_family,folds,mean_rmse,sd_rmse,mean_mae,sd_mae,mean_r2,sd_r2,mean_n_test
random_cv,random_kfold,lightgbm,3,604.3259432067175,46.113699411164326,429.4746001327667,41.69523275822288,0.6575809994522364,0.03592133718311275,365.0
zone_block_cv,group_kfold,lightgbm,3,670.5870238747499,58.19988485118328,488.9404819639561,45.78668963517489,0.5670714599909209,0.0158386114669929,365.0
parish_block_cv,group_kfold,lightgbm,3,758.4589797180344,111.81965811127897,561.4948627410256,79.66048909902553,0.39452140724219675,0.06368616076183169,365.0
spatial_cluster_cv,spatial_clusters,lightgbm,3,915.5294412837228,211.75213125646638,664.2174638759934,135.89512972941208,0.08074984923361501,0.07441640941416824,365.0
random_cv,random_kfold,random_forest,3,613.8035254798901,50.99734335788349,441.6251487335069,43.04979808233405,0.6466166752696423,0.04224554862933155,365.0
zone_block_cv,group_kfold,random_forest,3,713.6072749826002,48.81180953567276,523.082773017125,33.51992080103615,0.5085320804405243,0.02677871979947477,365.0
parish_block_cv,group_kfold,random_forest,3,822.913739686907,111.78208103508518,595.706977814165,66.62112892558409,0.28546634296502865,0.08033722931765881,365.0
spatial_cluster_cv,spatial_clusters,random_forest,3,887.4744647788951,196.38267839187708,655.0401983882822,105.76223551990756,0.12855021734586278,0.12293838232085774,365.0
random_cv,random_kfold,regularized_linear,3,660.0592212278771,17.076917509618625,496.33499047318327,17.150777405540733,0.5914773653434987,0.012868700536164854,365.0
zone_block_cv,group_kfold,regularized_linear,3,710.8906949018157,35.48217530685617,543.382043969854,26.666158695895398,0.5082597716156366,0.07470096193862844,365.0
spatial_cluster_cv,spatial_clusters,regularized_linear,3,746.2223209841245,159.2196339510355,586.4107508981691,143.8215127710345,0.3833025780803987,0.0816303645761205,365.0
parish_block_cv,group_kfold,regularized_linear,3,766.6638241056061,121.2429141280411,575.421345839744,57.27442662818814,0.3803787081956081,0.08951470229658762,365.0
