column,feature_type,dtype,missing,unique,used_by_default
condition_std,hedonic_categorical,object,0,2,True
listing_year,hedonic_categorical,string,0,5,True
preservation_class_std,hedonic_categorical,object,0,4,True
property_type_std,hedonic_categorical,object,0,2,True
typology_bucket_std,hedonic_categorical,object,0,8,True
area_living_m2,hedonic_numeric,float64,0,321,True
zone_mean_unit_price_eur_m2__leakage_sensitive,leakage_sensitive_outcome_summary,float64,0,87,False
municipality_name_cat,spatial_categorical,string,0,2,True
zone_id_cat,spatial_categorical,string,0,87,True
distance_to_aveiro_centre_km,spatial_numeric,float64,0,857,True
distance_to_ilhavo_centre_km,spatial_numeric,float64,0,857,True
x_centered_km,spatial_numeric,float64,0,857,True
x_pttm06_m,spatial_numeric,float64,0,857,True
y_centered_km,spatial_numeric,float64,0,857,True
y_pttm06_m,spatial_numeric,float64,0,857,True
zone_area_km2,spatial_numeric,float64,0,87,True
zone_listing_count,spatial_numeric,int64,0,32,True
zone_listing_density_km2,spatial_numeric,float64,0,87,True
