strategy,model_family,diagnostic,unit,status,moran_i,p_sim,n,permutations,note
parish_block_cv,lightgbm,listing_knn_8,listing,computed,0.2708113171667144,0.005,1095,199,fallback Moran implementation
parish_block_cv,lightgbm,zone_queen,zone,computed,0.22062664588676165,0.02,87,199,fallback Moran implementation
parish_block_cv,random_forest,listing_knn_8,listing,computed,0.3047318331248722,0.005,1095,199,fallback Moran implementation
parish_block_cv,random_forest,zone_queen,zone,computed,0.20150669545892855,0.02,87,199,fallback Moran implementation
parish_block_cv,regularized_linear,listing_knn_8,listing,computed,0.29259846258401406,0.005,1095,199,fallback Moran implementation
parish_block_cv,regularized_linear,zone_queen,zone,computed,0.22205199211697355,0.02,87,199,fallback Moran implementation
random_cv,lightgbm,listing_knn_8,listing,computed,-0.02338859063381213,0.11,1095,199,fallback Moran implementation
random_cv,lightgbm,zone_queen,zone,computed,-0.051327158451029205,0.52,87,199,fallback Moran implementation
random_cv,random_forest,listing_knn_8,listing,computed,0.03503787180935407,0.01,1095,199,fallback Moran implementation
random_cv,random_forest,zone_queen,zone,computed,0.013978134739904132,0.84,87,199,fallback Moran implementation
random_cv,regularized_linear,listing_knn_8,listing,computed,0.030210419973101487,0.035,1095,199,fallback Moran implementation
random_cv,regularized_linear,zone_queen,zone,computed,-0.09231921028096435,0.26,87,199,fallback Moran implementation
spatial_cluster_cv,lightgbm,listing_knn_8,listing,computed,0.42304441592958225,0.005,1095,199,fallback Moran implementation
spatial_cluster_cv,lightgbm,zone_queen,zone,computed,0.4415441101557446,0.005,87,199,fallback Moran implementation
spatial_cluster_cv,random_forest,listing_knn_8,listing,computed,0.4087200791224296,0.005,1095,199,fallback Moran implementation
spatial_cluster_cv,random_forest,zone_queen,zone,computed,0.45731408391191597,0.005,87,199,fallback Moran implementation
spatial_cluster_cv,regularized_linear,listing_knn_8,listing,computed,0.23577331817623196,0.005,1095,199,fallback Moran implementation
spatial_cluster_cv,regularized_linear,zone_queen,zone,computed,0.3037827569459695,0.005,87,199,fallback Moran implementation
zone_block_cv,lightgbm,listing_knn_8,listing,computed,0.19787475444449157,0.005,1095,199,fallback Moran implementation
zone_block_cv,lightgbm,zone_queen,zone,computed,-0.0055176952138494256,0.955,87,199,fallback Moran implementation
zone_block_cv,random_forest,listing_knn_8,listing,computed,0.22589901713270594,0.005,1095,199,fallback Moran implementation
zone_block_cv,random_forest,zone_queen,zone,computed,0.03077829615006688,0.715,87,199,fallback Moran implementation
zone_block_cv,regularized_linear,listing_knn_8,listing,computed,0.19184060323574398,0.005,1095,199,fallback Moran implementation
zone_block_cv,regularized_linear,zone_queen,zone,computed,0.04277086029135142,0.645,87,199,fallback Moran implementation
